"","HEXID","date","gv","npv","mesma"
"1659","CT17","dec_2000",0.0454350867522213,0.369335465734929,0.414770552487151
"1676","CT17","feb_2000",0.0535248814294075,0.40145416128411,0.454979042713518
"1709","CT17","jul_2000",0.0378312127595844,0.421561389743107,0.459392602502691
"1726","CT17","jun_2000",0.038885878432801,0.418134423874902,0.457020302307703
"1743","CT17","mar_2000",0.0439934648807404,0.376268284168533,0.420261749049273
"1760","CT17","may_2000",0.0393013640465013,0.409824311454998,0.449125675501499
"1777","CT17","nov_2000",0.0506991994263003,0.428953246859917,0.479652446286217
"1794","CT17","oct_2000",0.0429914496934904,0.436615142746295,0.479606592439785
"1811","CT17","sep_2000",0.0405249082839871,0.418386236277948,0.458911144561935
"1828","CT18","apr_2000",0.170541814731491,0.519455308740036,0.689997123471527
"1845","CT18","aug_2000",0.173727860287968,0.48706018249598,0.660788042783949
"1862","CT18","dec_2000",0.164969377429653,0.287150558630027,0.45211993605968
"1879","CT18","feb_2000",0.26112860214632,0.454334590508369,0.715463192654689
"1912","CT18","jul_2000",0.197065100706944,0.47693612057155,0.674001221278494
"1929","CT18","jun_2000",0.180213212238985,0.490867584495226,0.671080796734211
"1946","CT18","mar_2000",0.20379071343185,0.458355571159358,0.662146284591208
"1963","CT18","may_2000",0.164456791571957,0.522917494200152,0.687374285772108
"1980","CT18","nov_2000",0.141629525986158,0.481991668579179,0.623621194565336
"1997","CT18","oct_2000",0.141470658023801,0.543266876973747,0.684737534997548
"2014","CT18","sep_2000",0.148586735516136,0.505633473129742,0.654220208645879
"2031","CT19","apr_2000",0.227046775213941,0.370522552648269,0.59756932786221
"2048","CT19","aug_2000",0.342631540354877,0.281094037084079,0.623725577438956
"2065","CT19","dec_2000",0.0747955539313986,0.0714062949359505,0.146201848867349
"2082","CT19","feb_2000",0.26645424817957,0.357169012014208,0.623623260193779
"2115","CT19","jul_2000",0.379823116871382,0.283114378201931,0.662937495073314
"2132","CT19","jun_2000",0.295750301080123,0.322460525931849,0.618210827011972
"2149","CT19","mar_2000",0.235176546174088,0.268326178798323,0.503502724972411
"2166","CT19","may_2000",0.230490782533916,0.404396481383002,0.634887263916918
"2183","CT19","nov_2000",0.0724962393108158,0.0863801850016276,0.158876424312443
"2200","CT19","oct_2000",0.18139345764906,0.455641259035221,0.637034716684281
"2217","CT19","sep_2000",0.238902917201626,0.32852276077715,0.567425677978776
"2234","CT2","apr_2000",0.280701742408458,0.388810901988305,0.669512644396763
"2251","CT2","aug_2000",0.190034828844892,0.513722879339443,0.703757708184335
"2268","CT2","dec_2000",0.21618934918344,0.369703239130099,0.585892588313539
"2285","CT2","feb_2000",0.310421735651132,0.411248901250185,0.721670636901317
"2318","CT2","jul_2000",0.201002085808347,0.499614831218586,0.700616917026933
"2335","CT2","jun_2000",0.215728224682195,0.491549240061965,0.70727746474416
"2352","CT2","mar_2000",0.151394087244024,0.193633435551354,0.345027522795378
"2369","CT2","may_2000",0.230018260517988,0.421923997436638,0.651942257954626
"2386","CT2","nov_2000",0.229381040566832,0.472518464832845,0.701899505399677
"2403","CT2","oct_2000",0.188765272820844,0.555255130970376,0.74402040379122
"2420","CT2","sep_2000",0.187358450399095,0.527471589356501,0.714830039755596
"2437","CT20","apr_2000",0.354788281022528,0.326173167911012,0.68096144893354
"2454","CT20","aug_2000",0.333328478038214,0.353499809844129,0.686828287882343
"2471","CT20","dec_2000",0.246751760663809,0.122346416467576,0.369098177131386
"2488","CT20","feb_2000",0.421400315146597,0.215340093409795,0.636740408556392
"2521","CT20","jul_2000",0.330499428754678,0.356449321180155,0.686948749934833
"2538","CT20","jun_2000",0.277300686364858,0.365078695205026,0.642379381569885
"2555","CT20","mar_2000",0.331060775599287,0.160913811058178,0.491974586657465
"2572","CT20","may_2000",0.261024299658656,0.364851245660134,0.62587554531879
"2589","CT20","nov_2000",0.244985509230144,0.263822955166374,0.508808464396519
