"","HEXID","date","NDaysAbove10ms"
"367","CT61","mar_2000",5
"368","FR81","mar_2000",12
"369","FR83","mar_2000",12
"370","FR75","mar_2000",13
"371","FR79","mar_2000",12
"372","FR84","mar_2000",13
"373","FR5","mar_2000",12
"374","FR54","mar_2000",22
"375","FR36","mar_2000",17
"376","FR77","mar_2000",17
"377","FR78","mar_2000",13
"378","FR32","mar_2000",13
"379","FR31","mar_2000",22
"380","FR67","mar_2000",13
"381","FR80","mar_2000",13
"382","FR37","mar_2000",17
"383","FR3","mar_2000",5
"384","FR4","mar_2000",13
"385","FR49","mar_2000",13
"386","FR53","mar_2000",16
"387","FR63","mar_2000",6
"388","FR68","mar_2000",5
"389","FR71","mar_2000",17
"390","FR25","mar_2000",13
"391","FR15","mar_2000",4
"392","FR47","mar_2000",12
"393","FR27","mar_2000",16
"394","FR43","mar_2000",9
"395","FR17","mar_2000",9
"396","FR18","mar_2000",4
"397","FR55","mar_2000",9
"398","FR33","mar_2000",4
"399","FR19","mar_2000",9
"400","FR34","mar_2000",1
"401","FR64","mar_2000",10
"402","FR69","mar_2000",2
"403","FR57","mar_2000",11
"404","FR74","mar_2000",11
"405","FR40","mar_2000",12
"406","FR41","mar_2000",4
"407","FR42","mar_2000",1
"408","FR28","mar_2000",18
"409","FR58","mar_2000",11
"410","FR21","mar_2000",11
"411","FR72","mar_2000",4
"412","FR30","mar_2000",1
"413","FR44","mar_2000",13
"414","FR16","mar_2000",1
"415","FR56","mar_2000",1
"416","FR46","mar_2000",1
"417","FR50","mar_2000",3
"418","FR51","mar_2000",1
"419","FR52","mar_2000",10
"420","FR59","mar_2000",10
"421","FR60","mar_2000",5
"422","FR20","mar_2000",10
"423","FR61","mar_2000",10
"424","FR62","mar_2000",7
"425","FR35","mar_2000",9
"426","FR65","mar_2000",1
"427","FR66","mar_2000",9
"428","FR29","mar_2000",4
"429","FR70","mar_2000",6
"430","FR2","mar_2000",9
"431","FR14","mar_2000",5
"432","FR1","mar_2000",8
"433","FR39","mar_2000",8
"434","FR45","mar_2000",8
"435","FR48","mar_2000",8
"436","FR24","mar_2000",8
"437","FR85","mar_2000",8
"438","FR73","mar_2000",8
"439","FR22","mar_2000",8
"440","FR88","mar_2000",8
"441","FR76","mar_2000",5
"442","FR10","mar_2000",8
"443","FR38","mar_2000",1
"444","FR90","mar_2000",8
"445","FR6","mar_2000",8
"446","FR87","mar_2000",8
"447","FR26","mar_2000",8
"448","FR8","mar_2000",6
"449","FR82","mar_2000",1
"450","FR9","mar_2000",6
"451","FR89","mar_2000",12
"452","FR23","mar_2000",4
"453","FR86","mar_2000",4
"454","FR11","mar_2000",8
"455","FR7","mar_2000",14
"456","FR12","mar_2000",14
"457","FR13","mar_2000",14
"458","FR91","mar_2000",17
"459","FR92","mar_2000",9
"460","CT1","apr_2000",25
"461","CT2","apr_2000",10
"462","CT3","apr_2000",11
"463","CT4","apr_2000",18
"464","CT5","apr_2000",17
"465","CT6","apr_2000",NA
"466","CT7","apr_2000",20
"467","CT8","apr_2000",9
"468","CT9","apr_2000",12
"469","CT10","apr_2000",15
"470","CT11","apr_2000",15
"471","CT12","apr_2000",14
"472","CT13","apr_2000",NA
"473","CT14","apr_2000",13
"474","CT15","apr_2000",5
"475","CT16","apr_2000",7
"476","CT17","apr_2000",10
"477","CT18","apr_2000",16
"478","CT19","apr_2000",15
"479","CT20","apr_2000",11
"480","CT21","apr_2000",14
"481","CT22","apr_2000",13
"482","CT23","apr_2000",2
"483","CT24","apr_2000",2
"484","CT25","apr_2000",8
"485","CT26","apr_2000",13
"486","CT27","apr_2000",15
"487","CT28","apr_2000",13
"488","CT29","apr_2000",4
"489","CT30","apr_2000",3
"490","CT31","apr_2000",3
"491","CT32","apr_2000",2
"492","CT33","apr_2000",2
"493","CT34","apr_2000",13
"494","CT35","apr_2000",14
"495","CT36","apr_2000",6
"496","CT37","apr_2000",3
"497","CT38","apr_2000",3
"498","CT39","apr_2000",1
"499","CT40","apr_2000",6
"500","CT41","apr_2000",7
"501","CT42","apr_2000",11
"502","CT43","apr_2000",11
"503","CT44","apr_2000",4
"504","CT45","apr_2000",2
"505","CT46","apr_2000",4
"506","CT47","apr_2000",8
"507","CT48","apr_2000",11
"508","CT49","apr_2000",6
"509","CT50","apr_2000",3
"510","CT51","apr_2000",5
"511","CT52","apr_2000",11
"512","CT53","apr_2000",9
"513","CT54","apr_2000",7
"514","CT55","apr_2000",6
