"","HEXID","clay","sand","silt","ph","ksat"
"46","CT50",8.48506133921899,61.7000282076279,18.1428305612328,5.43096603702622,0.454413009160056
"47","CT51",18.4931546993544,46.3051045468584,36.1237383679225,6.17829159056666,0.00917837644762698
"48","CT52",24.4197595064613,38.9820281108647,30.2745950330368,7.17958370501354,0
"49","CT53",15.264842241523,55.1103988681289,25.9755343384543,7.20795170999158,0.0305640707893004
"50","CT54",13.6188570002102,55.8298869945564,26.5234067199413,6.77609470631708,0.0696996815955939
"51","CT55",16.4598418064379,50.9919127093608,27.2502185620884,6.25405795299583,0.085781919438902
"52","CT56",11.5398959343753,58.2873172363501,24.4429489273228,5.86076658848094,0.0686422623270794
"53","CT57",7.77870758154095,62.4608271920234,16.8755037716261,5.30186923450396,0.527669446867636
"54","CT58",5.49890555826397,70.7762295939414,14.0308121369542,5.67403103911766,0.69062628910236
"55","CT59",18.8490709896523,48.4308323610026,33.3039417270561,6.45492484687021,0.0226344817001785
"56","CT6",11.0757331566176,36.4875491507235,18.7688844887924,3.99947245557415,0.171946448735094
"57","CT60",34.8841962254945,27.4714570724758,29.7258554811393,7.25162517806128,9.54251040822265e-05
"58","CT61",18.2785198651847,53.3271090465144,24.6871250622232,6.96630798562128,0.187840260029001
"59","CT62",7.71440967269079,72.0999262152351,17.404122108867,6.40957037590878,0.292617588320363
"60","CT63",15.342191890254,52.1748398356643,27.0761351204577,6.02878334133499,0.0631783372816926
"61","CT64",13.1934130953002,56.6863930124818,25.8582052475254,5.9477126562191,0.00363228165727277
"62","CT65",10.1184303346632,54.3854318449028,20.5022584723459,5.34802807963439,0.18637242410677
"63","CT66",6.57950448677582,57.2292614530856,14.5301224023929,4.82748937342569,0.48280364452141
"64","CT67",20.6016708173901,44.0185276914883,35.0366728428908,6.27913753885479,8.14123772316064e-05
"65","CT68",33.2500993146553,30.3696427713154,28.4728132874671,7.25158829882088,0.0274726406516218
"66","CT69",10.2052908101768,65.675129975275,21.169302787223,6.54935823941735,0.0813393656637737
"67","CT7",16.6352152590847,45.300831165243,32.1664562809885,5.74800967807488,0.0314397287576367
"68","CT70",8.47040768882166,63.4670225434399,23.3389176951584,6.12142382098653,0.113587273187412
"69","CT71",15.0547880307324,53.3613065479431,26.6248211152209,6.01051288313711,0.0620258143364807
"70","CT72",12.9701235606901,56.2994500239824,25.9312672204681,5.91827456427127,0.00020304090538588
