"","X","HEXID","date","NDaysAbove10ms"
"314",314,"CT9","jun_2000",0
"315",315,"CT10","jun_2000",0
"316",316,"CT11","jun_2000",0
"317",317,"CT12","jun_2000",0
"318",318,"CT13","jun_2000",NA
"319",319,"CT14","jun_2000",0
"320",320,"CT15","jun_2000",0
"321",321,"CT16","jun_2000",0
"322",322,"CT17","jun_2000",0
"323",323,"CT18","jun_2000",0
"324",324,"CT19","jun_2000",0
"325",325,"CT20","jun_2000",0
"326",326,"CT21","jun_2000",0
"327",327,"CT22","jun_2000",0
"328",328,"CT23","jun_2000",0
"329",329,"CT24","jun_2000",0
"330",330,"CT25","jun_2000",0
"331",331,"CT26","jun_2000",0
"332",332,"CT27","jun_2000",0
"333",333,"CT28","jun_2000",0
"334",334,"CT29","jun_2000",0
"335",335,"CT30","jun_2000",0
"336",336,"CT31","jun_2000",0
"337",337,"CT32","jun_2000",0
"338",338,"CT33","jun_2000",0
"339",339,"CT34","jun_2000",0
"340",340,"CT35","jun_2000",0
"341",341,"CT36","jun_2000",0
"342",342,"CT37","jun_2000",0
"343",343,"CT38","jun_2000",0
"344",344,"CT39","jun_2000",0
"345",345,"CT40","jun_2000",0
"346",346,"CT41","jun_2000",0
"347",347,"CT42","jun_2000",0
"348",348,"CT43","jun_2000",0
"349",349,"CT44","jun_2000",0
"350",350,"CT45","jun_2000",0
"351",351,"CT46","jun_2000",0
"352",352,"CT47","jun_2000",0
"353",353,"CT48","jun_2000",0
"354",354,"CT49","jun_2000",0
"355",355,"CT50","jun_2000",0
"356",356,"CT51","jun_2000",0
"357",357,"CT52","jun_2000",0
"358",358,"CT53","jun_2000",0
"359",359,"CT54","jun_2000",0
"360",360,"CT55","jun_2000",0
"361",361,"CT56","jun_2000",0
"362",362,"CT57","jun_2000",0
"363",363,"CT58","jun_2000",0
"364",364,"CT59","jun_2000",0
"365",365,"CT60","jun_2000",0
"366",366,"CT61","jun_2000",0
"367",367,"CT1","jul_2000",2
"368",368,"CT2","jul_2000",0
"369",369,"CT3","jul_2000",0
"370",370,"CT4","jul_2000",0
"371",371,"CT5","jul_2000",0
"372",372,"CT6","jul_2000",NA
"373",373,"CT7","jul_2000",0
"374",374,"CT8","jul_2000",0
"375",375,"CT9","jul_2000",0
"376",376,"CT10","jul_2000",0
"377",377,"CT11","jul_2000",0
"378",378,"CT12","jul_2000",0
"379",379,"CT13","jul_2000",NA
"380",380,"CT14","jul_2000",0
"381",381,"CT15","jul_2000",0
"382",382,"CT16","jul_2000",0
"383",383,"CT17","jul_2000",0
"384",384,"CT18","jul_2000",0
"385",385,"CT19","jul_2000",0
"386",386,"CT20","jul_2000",0
"387",387,"CT21","jul_2000",0
"388",388,"CT22","jul_2000",0
"389",389,"CT23","jul_2000",0
"390",390,"CT24","jul_2000",0
"391",391,"CT25","jul_2000",0
"392",392,"CT26","jul_2000",0
"393",393,"CT27","jul_2000",0
"394",394,"CT28","jul_2000",0
"395",395,"CT29","jul_2000",0
"396",396,"CT30","jul_2000",0
"397",397,"CT31","jul_2000",0
"398",398,"CT32","jul_2000",0
"399",399,"CT33","jul_2000",0
"400",400,"CT34","jul_2000",0
"401",401,"CT35","jul_2000",0
"402",402,"CT36","jul_2000",0
"403",403,"CT37","jul_2000",0
"404",404,"CT38","jul_2000",0
"405",405,"CT39","jul_2000",0
"406",406,"CT40","jul_2000",0
"407",407,"CT41","jul_2000",0
"408",408,"CT42","jul_2000",0
"409",409,"CT43","jul_2000",0
"410",410,"CT44","jul_2000",0
"411",411,"CT45","jul_2000",0
"412",412,"CT46","jul_2000",0
"413",413,"CT47","jul_2000",0
"414",414,"CT48","jul_2000",0
"415",415,"CT49","jul_2000",0
"416",416,"CT50","jul_2000",0
"417",417,"CT51","jul_2000",0
"418",418,"CT52","jul_2000",0
"419",419,"CT53","jul_2000",0
"420",420,"CT54","jul_2000",0
"421",421,"CT55","jul_2000",0
"422",422,"CT56","jul_2000",0
"423",423,"CT57","jul_2000",0
"424",424,"CT58","jul_2000",0
"425",425,"CT59","jul_2000",0
"426",426,"CT60","jul_2000",0
"427",427,"CT61","jul_2000",0
"428",428,"CT1","aug_2000",1
"429",429,"CT2","aug_2000",0
"430",430,"CT3","aug_2000",0
"431",431,"CT4","aug_2000",0
"432",432,"CT5","aug_2000",0
"433",433,"CT6","aug_2000",NA
"434",434,"CT7","aug_2000",0
"435",435,"CT8","aug_2000",0
"436",436,"CT9","aug_2000",0
"437",437,"CT10","aug_2000",0
"438",438,"CT11","aug_2000",0
"439",439,"CT12","aug_2000",0
"440",440,"CT13","aug_2000",NA
"441",441,"CT14","aug_2000",0
"442",442,"CT15","aug_2000",0
"443",443,"CT16","aug_2000",0
"444",444,"CT17","aug_2000",0
"445",445,"CT18","aug_2000",0
"446",446,"CT19","aug_2000",0
"447",447,"CT20","aug_2000",0
"448",448,"CT21","aug_2000",0
"449",449,"CT22","aug_2000",0
"450",450,"CT23","aug_2000",0
"451",451,"CT24","aug_2000",0
"452",452,"CT25","aug_2000",0
"453",453,"CT26","aug_2000",0
"454",454,"CT27","aug_2000",0
"455",455,"CT28","aug_2000",0
"456",456,"CT29","aug_2000",0
"457",457,"CT30","aug_2000",0
"458",458,"CT31","aug_2000",0
"459",459,"CT32","aug_2000",0
"460",460,"CT33","aug_2000",0
"461",461,"CT34","aug_2000",0
"462",462,"CT35","aug_2000",0
"463",463,"CT36","aug_2000",0
"464",464,"CT37","aug_2000",0
"465",465,"CT38","aug_2000",0
"466",466,"CT39","aug_2000",0
"467",467,"CT40","aug_2000",0
"468",468,"CT41","aug_2000",0
"469",469,"CT42","aug_2000",0
"470",470,"CT43","aug_2000",0
"471",471,"CT44","aug_2000",0
"472",472,"CT45","aug_2000",0
"473",473,"CT46","aug_2000",0
"474",474,"CT47","aug_2000",0
"475",475,"CT48","aug_2000",0
"476",476,"CT49","aug_2000",0
"477",477,"CT50","aug_2000",0
"478",478,"CT51","aug_2000",0
"479",479,"CT52","aug_2000",0
"480",480,"CT53","aug_2000",0
"481",481,"CT54","aug_2000",0
"482",482,"CT55","aug_2000",0
"483",483,"CT56","aug_2000",0
"484",484,"CT57","aug_2000",0
"485",485,"CT58","aug_2000",0
"486",486,"CT59","aug_2000",0
"487",487,"CT60","aug_2000",0
"488",488,"CT61","aug_2000",0
"489",489,"CT1","sep_2000",3
"490",490,"CT2","sep_2000",0
"491",491,"CT3","sep_2000",0
"492",492,"CT4","sep_2000",1
"493",493,"CT5","sep_2000",1
"494",494,"CT6","sep_2000",NA
"495",495,"CT7","sep_2000",0
"496",496,"CT8","sep_2000",0
"497",497,"CT9","sep_2000",0
"498",498,"CT10","sep_2000",0
"499",499,"CT11","sep_2000",1
"500",500,"CT12","sep_2000",1
"501",501,"CT13","sep_2000",NA
"502",502,"CT14","sep_2000",0
"503",503,"CT15","sep_2000",0
"504",504,"CT16","sep_2000",0
"505",505,"CT17","sep_2000",0
"506",506,"CT18","sep_2000",0
"507",507,"CT19","sep_2000",1
"508",508,"CT20","sep_2000",1
"509",509,"CT21","sep_2000",0
"510",510,"CT22","sep_2000",0
"511",511,"CT23","sep_2000",0
"512",512,"CT24","sep_2000",0
"513",513,"CT25","sep_2000",0
"514",514,"CT26","sep_2000",0
"515",515,"CT27","sep_2000",0
"516",516,"CT28","sep_2000",1
"517",517,"CT29","sep_2000",0
"518",518,"CT30","sep_2000",0
"519",519,"CT31","sep_2000",0
"520",520,"CT32","sep_2000",0
"521",521,"CT33","sep_2000",0
"522",522,"CT34","sep_2000",0
"523",523,"CT35","sep_2000",1
"524",524,"CT36","sep_2000",0
"525",525,"CT37","sep_2000",0
"526",526,"CT38","sep_2000",0
"527",527,"CT39","sep_2000",0
"528",528,"CT40","sep_2000",0
"529",529,"CT41","sep_2000",0
"530",530,"CT42","sep_2000",0
"531",531,"CT43","sep_2000",0
"532",532,"CT44","sep_2000",0
"533",533,"CT45","sep_2000",0
"534",534,"CT46","sep_2000",0
"535",535,"CT47","sep_2000",0
"536",536,"CT48","sep_2000",0
"537",537,"CT49","sep_2000",0
"538",538,"CT50","sep_2000",0
"539",539,"CT51","sep_2000",0
"540",540,"CT52","sep_2000",0
"541",541,"CT53","sep_2000",0
"542",542,"CT54","sep_2000",0
"543",543,"CT55","sep_2000",0
"544",544,"CT56","sep_2000",0
"545",545,"CT57","sep_2000",0
"546",546,"CT58","sep_2000",0
"547",547,"CT59","sep_2000",0
"548",548,"CT60","sep_2000",0
"549",549,"CT61","sep_2000",0
"550",550,"CT1","oct_2000",1
"551",551,"CT2","oct_2000",0
"552",552,"CT3","oct_2000",0
"553",553,"CT4","oct_2000",0
"554",554,"CT5","oct_2000",1
"555",555,"CT6","oct_2000",NA
"556",556,"CT7","oct_2000",0
"557",557,"CT8","oct_2000",0
"558",558,"CT9","oct_2000",0
"559",559,"CT10","oct_2000",0
"560",560,"CT11","oct_2000",0
"561",561,"CT12","oct_2000",0
"562",562,"CT13","oct_2000",NA
"563",563,"CT14","oct_2000",0
"564",564,"CT15","oct_2000",0
"565",565,"CT16","oct_2000",0
"566",566,"CT17","oct_2000",0
"567",567,"CT18","oct_2000",0
"568",568,"CT19","oct_2000",0
"569",569,"CT20","oct_2000",0
"570",570,"CT21","oct_2000",0
"571",571,"CT22","oct_2000",0
"572",572,"CT23","oct_2000",0
"573",573,"CT24","oct_2000",0
"574",574,"CT25","oct_2000",0
"575",575,"CT26","oct_2000",0
"576",576,"CT27","oct_2000",0
"577",577,"CT28","oct_2000",2
"578",578,"CT29","oct_2000",0
