"","HEXID","date","NDaysAbove5ms"
"118008","CT10","dec_2014",9
"133752","CT10","dec_2015",16
"150480","CT10","dec_2016",20
"168192","CT10","dec_2017",11
"186888","CT10","dec_2018",12
"92","CT10","feb_2000",21
"2060","CT10","feb_2001",12
"5012","CT10","feb_2002",13
"8948","CT10","feb_2003",18
"13868","CT10","feb_2004",18
"19772","CT10","feb_2005",13
"26660","CT10","feb_2006",15
"34532","CT10","feb_2007",14
"43388","CT10","feb_2008",14
"53228","CT10","feb_2009",23
"64052","CT10","feb_2010",8
"75860","CT10","feb_2011",16
"88652","CT10","feb_2012",17
"102428","CT10","feb_2013",11
"117188","CT10","feb_2014",15
"132932","CT10","feb_2015",8
"149660","CT10","feb_2016",14
"167372","CT10","feb_2017",16
"186068","CT10","feb_2018",11
"10","CT10","jan_2000",16
"1978","CT10","jan_2001",13
"4930","CT10","jan_2002",9
"8866","CT10","jan_2003",10
"13786","CT10","jan_2004",10
"19690","CT10","jan_2005",13
"26578","CT10","jan_2006",23
"34450","CT10","jan_2007",14
"43306","CT10","jan_2008",21
"53146","CT10","jan_2009",18
"63970","CT10","jan_2010",9
"75778","CT10","jan_2011",15
"88570","CT10","jan_2012",15
"102346","CT10","jan_2013",14
"117106","CT10","jan_2014",14
"132850","CT10","jan_2015",6
"149578","CT10","jan_2016",20
"167290","CT10","jan_2017",20
"185986","CT10","jan_2018",10
"502","CT10","jul_2000",13
"2470","CT10","jul_2001",13
"5422","CT10","jul_2002",14
"9358","CT10","jul_2003",11
"14278","CT10","jul_2004",8
"20182","CT10","jul_2005",11
"27070","CT10","jul_2006",9
"34942","CT10","jul_2007",9
"43798","CT10","jul_2008",8
"53638","CT10","jul_2009",11
"64462","CT10","jul_2010",13
"76270","CT10","jul_2011",10
"89062","CT10","jul_2012",4
"102838","CT10","jul_2013",6
"117598","CT10","jul_2014",3
"133342","CT10","jul_2015",11
"150070","CT10","jul_2016",14
"167782","CT10","jul_2017",9
"186478","CT10","jul_2018",4
"420","CT10","jun_2000",14
"2388","CT10","jun_2001",21
"5340","CT10","jun_2002",18
"9276","CT10","jun_2003",17
"14196","CT10","jun_2004",16
"20100","CT10","jun_2005",18
"26988","CT10","jun_2006",16
"34860","CT10","jun_2007",17
"43716","CT10","jun_2008",17
"53556","CT10","jun_2009",20
"64380","CT10","jun_2010",20
"76188","CT10","jun_2011",22
"88980","CT10","jun_2012",19
"102756","CT10","jun_2013",14
"117516","CT10","jun_2014",19
"133260","CT10","jun_2015",16
"149988","CT10","jun_2016",15
"167700","CT10","jun_2017",16
