"","hexid","ATT","CI.lower","CI.upper","period"
"49","FR15",0.826206241416382,-10.6671059588558,12.3195184416886,"0-24"
"50","FR26",29.0876394471465,20.6616905192577,37.5135883750353,"0-24"
"51","FR16",-15.1209922877158,-30.3614960587976,0.119511483365976,"0-24"
"52","FR18",13.4140650127098,3.29761038411065,23.5305196413089,"0-24"
"53","FR20",63.2326650409917,47.126979466989,79.3383506149944,"0-24"
"54","FR31",285.808270654043,214.007196486672,357.609344821414,"0-24"
"55","FR39",88.4588021102818,15.8652865486214,161.052317671942,"0-24"
"56","FR44",-1.63336057147244,-10.3973242543778,7.13060311143295,"0-24"
"57","FR87",1.80984354436387,-9.51671954944718,13.1364066381749,"0-24"
"58","FR75",-1.07183311261849,-17.1609712948711,15.0173050696342,"0-24"
"59","FR90",0.626027281025501,-19.4726834166842,20.7247379787352,"0-24"
"60","FR91",21.82614896101,9.90913540144084,33.7431625205792,"0-24"
"61","FR53",-2.89595926893955,-15.4548097556462,9.66289121776705,"0-24"
"62","ALL",5.28378511685916,2.99158997791449,7.57598025580383,"0-24"
"63","ALL Over 10",2.15114677370192,-2.05968280560365,6.36197635300749,"0-24"
"64","ALL Under 10",6.6029703856776,3.87043728304626,9.33550348830894,"0-24"
"65","FR70",-1.60258897460947,-12.7760972650931,9.57091931587421,"0-36"
"66","FR58",55.6911980771567,33.8199248664593,77.5624712878541,"0-36"
"67","FR59",1.67200252202946,-15.7995880782363,19.1435931222953,"0-36"
"68","FR62",3.79205733656481,-8.86567123057006,16.4497859036997,"0-36"
"69","FR63",-1.58932017755385,-12.3630474786027,9.18440712349499,"0-36"
"70","FR68",12.2564503049428,-10.6814076795932,35.1943082894788,"0-36"
"71","FR17",-1.97996169844264,-14.7621217164085,10.8021983195233,"0-36"
"72","FR9",11.7744703655114,-5.37277240318183,28.9217131342046,"0-36"
"73","FR23",0.921006177276,-10.956680360727,12.798692715279,"0-36"
"74","FR24",-24.1029045369773,-38.4116827651669,-9.7941263087877,"0-36"
"75","FR25",4.04193397834475,-14.780650914046,22.8645188707355,"0-36"
"76","FR29",-1.19737637438354,-13.9772545527326,11.5825018039656,"0-36"
"77","FR36",21.8379673563363,2.79972562295361,40.876209089719,"0-36"
"78","FR47",-12.1629049747787,-25.2647739306061,0.938963981048671,"0-36"
"79","FR30",0.333937999376751,-11.3810579153852,12.0489339141388,"0-36"
"80","FR48",-10.2150828486735,-29.7656168769605,9.33545117961345,"0-36"
"81","FR15",-3.18570921796142,-17.4274679828439,11.056049546921,"0-36"
"82","FR26",35.9595579047716,25.6419544606387,46.2771613489045,"0-36"
"83","FR16",-35.8650978721265,-57.8747541229649,-13.8554416212881,"0-36"
"84","FR18",14.9160569534471,2.43313224228779,27.3989816646064,"0-36"
"85","FR20",114.10384492002,93.9044645613002,134.30322527874,"0-36"
"86","FR31",436.361462536633,351.646037746013,521.076887327253,"0-36"
"87","FR39",246.035873100438,152.491442601327,339.580303599549,"0-36"
"88","FR44",8.29191095901476,-4.31805620196782,20.9018781199973,"0-36"
"89","FR87",-0.173491359755653,-13.316528956869,12.9695462373577,"0-36"
"90","FR75",-1.04851097271695,-23.2113408562576,21.1143189108237,"0-36"
"91","FR90",2.34052964982075,-28.6318216322334,33.3128809318749,"0-36"
"92","FR91",23.1257191373845,8.20871853717173,38.0427197375973,"0-36"
"93","FR53",-9.19047145425588,-30.528979660881,12.1480367523692,"0-36"
"94","ALL",6.92779658180954,4.11526622860703,9.74032693501205,"0-36"
"95","ALL Over 10",1.73258997594175,-3.59330248355841,7.05848243544191,"0-36"
"96","ALL Under 10",8.93689840554618,5.62488599784935,12.248910813243,"0-36"
"97","FR70",0.0898102815351559,-6.26216528483889,6.4417858479092,"12-24"
"98","FR58",11.5693042748922,-2.06620443241632,25.2048129822007,"12-24"
"99","FR59",6.64018319930192,-4.18570767124124,17.4660740698451,"12-24"
"100","FR62",1.16049445171312,-7.55731067473663,9.87829957816287,"12-24"
"101","FR63",2.96919295552834,-2.71149577415126,8.64988168520794,"12-24"
"102","FR68",15.5714226046892,1.03005989936357,30.1127853100148,"12-24"
"103","FR17",1.72568742761839,-5.325639260801,8.77701411603778,"12-24"
"104","FR9",5.69674437460418,-4.27815638369624,15.6716451329046,"12-24"
"105","FR23",-1.99907597516705,-8.87186115627843,4.87370920594433,"12-24"
"106","FR24",-5.83036646651755,-15.8364469258475,4.17571399281235,"12-24"
"107","FR25",0.258871964957458,-12.3027093934869,12.8204533234018,"12-24"
"108","FR29",-3.3574247685213,-11.321657202211,4.60680766516842,"12-24"
"109","FR36",13.7625705593748,3.75442043982109,23.7707206789285,"12-24"
