"hexid","period","observed","obsSE","predicted","CI.lower","CI.upper","predSE","percentChange","percChangeSeDelta","DeltaCI.lower","DeltaCI.upper"
"FR18","13-24",2,0.346212382358907,0.634350209069385,-23.8753309175445,25.1440313356833,12.5049393503132,2.15283257009417,62.1541533046057,-119.669307906933,123.974973047121
"FR18","0-36",5,0.346212382358907,4.56963411696283,-43.7788364030139,52.9181046369396,24.6675869999881,0.0941795058470038,5.90703496527475,-11.4836090260915,11.6719680377855
"FR18","0-12",2,0.346212382358907,2.98311290666366,-29.4011415583849,35.3673673717122,16.5225788086982,-0.32955940235034,3.71518507144392,-7.61132214238042,6.95220333767974
"FR18","25-36",1,0.346212382358907,0.952171001229784,-25.2796835926748,27.1840255951343,13.3835992826044,0.0502315221829299,14.7664032890017,-28.8919189242604,28.9923819686262
"FR21","0-12",9,0.853411098054803,3.17893242232015,-23.3127507773068,29.6706156219471,13.5161648977689,1.83113913866446,12.0404128056577,-21.7680699604246,25.4303482377535
"FR21","25-36",13,0.853411098054803,3.55420100011283,-8.14657501555515,15.2549770157808,5.96978368146326,2.65764344773616,6.1482204117717,-9.39286855933638,14.7081554548087
"FR21","0-36",36,0.853411098054803,6.62554374843902,-28.6966474610611,41.9477349579392,18.021526127296,4.43351630701731,14.7797642930786,-24.5348217074168,33.4018543214514
"FR21","13-24",14,0.853411098054803,-0.107589673993959,-20.3298485419409,20.114669193953,10.3174790142587,-131.124011722408,12478.4468769147,-24588.8798904751,24326.6318670303
"FR23","13-24",1,0.117041147196131,0.130768122774662,-16.0621236367314,16.3236598822807,8.26167946913572,6.6471236168404,483.13144866965,-940.290515775673,953.584763009354
"FR23","0-12",0,0.117041147196131,-0.226120727614975,-10.4482449755054,9.99600352027543,5.2153695142298,-1,NA,NA,NA
"FR25","0-36",3,0.254338309436231,4.68612113399879,-30.4400204033517,39.8122626713493,17.9215007843625,-0.359811683433795,2.44892392862284,-5.15970258353457,4.44007921666698
"FR25","13-24",0,0.254338309436231,1.24079646745305,-19.0315941873143,21.5131871222204,10.343056456514,-1,NA,NA,NA
"FR25","25-36",0,0.254338309436231,3.09025020011118,-17.4956141696678,23.6761145698902,10.5029920253974,-1,NA,NA,NA
"FR25","0-12",3,0.254338309436231,0.355074466434567,-19.6223674266494,20.3325163595185,10.1925723944306,7.44893193848632,242.531452309984,-467.912714589082,482.810578466055
"FR29","0-12",2,0.656312284135729,2.64653831213373,-7.97706004852042,13.2701366727879,5.42020324523171,-0.244295844564015,1.56745030108314,-3.31649843468696,2.82790674555893
"FR32","13-24",40,1.89276842173725,15.7441138278034,-8.20137623108425,39.6896038866911,12.2170867647386,1.54063203794689,1.97513683066444,-2.33063615015541,5.41190022604919
