"hexid","ATT","CI.lower","CI.upper","period","OmittedControl","insig"
"ALL",2.58902275495854,-5.22180721247451,10.3998527223916,"0-36","CT16",TRUE
"ALL",1.81726339484156,-6.0080533860284,9.64258017571153,"0-36","CT19",TRUE
"ALL",1.81923108648642,-6.00847935412158,9.64694152709442,"0-36","CT2",TRUE
"ALL",1.81854059535149,-6.01246549917591,9.6495466898789,"0-36","CT20",TRUE
"ALL",1.788270914315,-6.02323549447269,9.59977732310268,"0-36","CT21",TRUE
"ALL",2.47052494758196,-5.36615938239851,10.3072092775624,"0-36","CT22",TRUE
"ALL",1.827535768425,-5.96776516818232,9.62283670503231,"0-36","CT23",TRUE
"ALL",1.81018803898214,-6.01937143212296,9.63974751008725,"0-36","CT24",TRUE
"ALL",1.78316415030112,-6.03339509980761,9.59972340040985,"0-36","CT28",TRUE
"ALL",1.81643169141298,-6.01465099544041,9.64751437826636,"0-36","CT29",TRUE
"ALL",2.04123577966865,-5.60152261065354,9.68399416999084,"0-36","CT30",TRUE
"ALL",1.83938718441475,-5.96130264201147,9.64007701084096,"0-36","CT31",TRUE
"ALL",2.4086948830274,-5.40859861344175,10.2259883794966,"0-36","CT32",TRUE
"ALL",1.8260840222999,-5.99037170616348,9.64253975076328,"0-36","CT36",TRUE
"ALL",1.84033469821066,-5.96884158105299,9.64951097747432,"0-36","CT37",TRUE
"ALL",1.88759090358599,-5.92681586136062,9.70199766853261,"0-36","CT38",TRUE
"ALL",1.83257037959205,-5.98323177600947,9.64837253519356,"0-36","CT39",TRUE
"ALL",1.8386925306229,-5.99258444091183,9.66996950215762,"0-36","CT4",TRUE
"ALL",1.82066424738603,-5.99482858474294,9.63615707951501,"0-36","CT42",TRUE
"ALL",1.83818339664593,-5.9988311260485,9.67519791934036,"0-36","CT43",TRUE
"ALL",1.95078383435567,-5.84605057175511,9.74761824046645,"0-36","CT44",TRUE
"ALL",1.82781915081193,-5.98942712975601,9.64506543137987,"0-36","CT47",TRUE
"ALL",1.83876454839506,-5.97103468910021,9.64856378589034,"0-36","CT48",TRUE
"ALL",1.83008641058152,-5.96473785553121,9.62491067669425,"0-36","CT49",TRUE
"ALL",2.48035144834495,-5.35403210746973,10.3147350041596,"0-36","CT5",TRUE
"ALL",1.83614077585432,-5.97371412041916,9.6459956721278,"0-36","CT52",TRUE
"ALL",1.82963987520326,-5.98038324344778,9.63966299385431,"0-36","CT53",TRUE
"ALL",1.83368370653528,-5.97435198751145,9.64171940058201,"0-36","CT54",TRUE
"ALL",2.66627283428999,-5.15725867989294,10.4898043484729,"0-36","CT56",TRUE
"ALL",1.82377630622236,-6.00163311765232,9.64918573009704,"0-36","CT57",TRUE
"ALL",1.83322583418453,-5.99415204556883,9.66060371393789,"0-36","CT58",TRUE
"ALL",1.83809329737097,-5.98321787185768,9.65940446659963,"0-36","CT59",TRUE
"ALL",1.83067083824481,-5.99133043803193,9.65267211452154,"0-36","CT6",TRUE
"ALL",1.82023040708532,-6.012732275776,9.65319308994663,"0-36","CT60",TRUE
"ALL",1.82623396689693,-5.99541569807272,9.64788363186658,"0-36","CT61",TRUE
"ALL",1.828596791309,-5.96786106754549,9.6250546501635,"0-36","CT9",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","NONE",TRUE
"ALL",2.40801800583035,-5.43731598773048,10.2533519993912,"0-36","CT1",TRUE
"ALL",2.40855206918454,-5.42881060914623,10.2459147475153,"0-36","CT12",TRUE
"ALL",2.41848337098007,-5.44046964741701,10.2774363893772,"0-36","CT16",TRUE
"ALL",2.40500431370883,-5.42809295745828,10.2381015848759,"0-36","CT19",TRUE
"ALL",2.43339058434928,-5.42495151250789,10.2917326812065,"0-36","CT2",TRUE
"ALL",2.39142023160223,-5.43431375520561,10.2171542184101,"0-36","CT20",TRUE
"ALL",2.41214917764336,-5.41594527903534,10.2402436343221,"0-36","CT21",TRUE
"ALL",2.37834045576257,-5.44282046717428,10.1995013786994,"0-36","CT23",TRUE
"ALL",2.35502324711787,-5.46291304377668,10.1729595380124,"0-36","CT24",TRUE
"ALL",2.39253813938784,-5.46317983857727,10.2482561173529,"0-36","CT28",TRUE
"ALL",2.40483994596507,-5.43223554893723,10.2419154408674,"0-36","CT29",TRUE
"ALL",2.63047542036336,-4.8033059859514,10.0642568266781,"0-36","CT30",TRUE
"ALL",2.42182517132622,-5.41422019718129,10.2578705398337,"0-36","CT31",TRUE
"ALL",2.52278192033586,-5.28453081677035,10.3300946574421,"0-36","CT32",TRUE
"ALL",2.42129545389547,-5.42099940297017,10.2635903107611,"0-36","CT33",TRUE
"ALL",2.40711801562709,-5.42873638272684,10.242972413981,"0-36","CT35",TRUE
"ALL",2.415151686578,-5.42969315860423,10.2599965317602,"0-36","CT36",TRUE
"ALL",2.43887023586204,-5.4010398908891,10.2787803626132,"0-36","CT37",TRUE
"ALL",2.43307972920097,-5.42810322227141,10.2942626806733,"0-36","CT38",TRUE
"ALL",2.4087245631828,-5.39891210027049,10.2163612266361,"0-36","CT39",TRUE
"ALL",2.4972286622724,-5.36147155165512,10.3559288761999,"0-36","CT4",TRUE
"ALL",2.41771672250879,-5.4253435842779,10.2607770292955,"0-36","CT41",TRUE
"ALL",2.38214235755759,-5.43637314687968,10.2006578619949,"0-36","CT42",TRUE
"ALL",2.45024452257705,-5.39474319971428,10.2952322448684,"0-36","CT43",TRUE
"ALL",2.55277929754915,-5.29366350343359,10.3992220985319,"0-36","CT44",TRUE
"ALL",2.41246196477649,-5.42684446585528,10.2517683954083,"0-36","CT47",TRUE
"ALL",2.35107884667724,-5.4325791603448,10.1347368536993,"0-36","CT48",TRUE
"ALL",2.36277005727806,-5.44139340766252,10.1669335222186,"0-36","CT49",TRUE
"ALL",2.42177690871877,-5.40369794269358,10.2472517601311,"0-36","CT5",TRUE
"ALL",2.36863571601102,-5.44372507939766,10.1809965114197,"0-36","CT51",TRUE
"ALL",2.38605712272993,-5.43617210631434,10.2082863517742,"0-36","CT52",TRUE
"ALL",2.42904754694374,-5.4238115465378,10.2819066404253,"0-36","CT53",TRUE
"ALL",2.43466069432754,-5.41632196005447,10.2856433487096,"0-36","CT54",TRUE
"ALL",2.37702302053988,-5.38759518679734,10.1416412278771,"0-36","CT56",TRUE
"ALL",2.37787236503509,-5.44022294176219,10.1959676718324,"0-36","CT57",TRUE
"ALL",2.43644409829369,-5.41890695200928,10.2917951485967,"0-36","CT58",TRUE
"ALL",2.41827211750016,-5.41863183074285,10.2551760657432,"0-36","CT59",TRUE
"ALL",2.40685651621295,-5.42824387453714,10.2419569069631,"0-36","CT60",TRUE
"ALL",2.44329626944628,-5.41609213439067,10.3026846732832,"0-36","CT61",TRUE
"ALL",2.39339089364747,-5.44036755799685,10.2271493452918,"0-36","CT9",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","NONE",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT1",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT12",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT13",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT16",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT19",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT2",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT20",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT22",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT25",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT28",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT29",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT31",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT32",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT37",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT38",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT4",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT42",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT43",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT44",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT47",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT48",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT49",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT5",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT52",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT53",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT54",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT56",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT57",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT58",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT59",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT6",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT60",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","CT61",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","NONE",TRUE
"ALL",2.44064030275426,-5.39187641117338,10.2731570166819,"0-36","CT1",TRUE
"ALL",2.45956920292451,-5.37361357120341,10.2927519770524,"0-36","CT12",TRUE
"ALL",2.43200931716671,-5.40090258986252,10.2649212241959,"0-36","CT13",TRUE
"ALL",2.44155775257479,-5.39149478775102,10.2746102929006,"0-36","CT16",TRUE
"ALL",2.44563233190008,-5.38882393125687,10.280088595057,"0-36","CT19",TRUE
"ALL",2.44188719794759,-5.37852445612957,10.2622988520247,"0-36","CT2",TRUE
"ALL",2.45156431131806,-5.37486131680554,10.2779899394417,"0-36","CT20",TRUE
"ALL",2.43988657371884,-5.37617169965005,10.2559448470877,"0-36","CT21",TRUE
"ALL",2.33374451142098,-5.47189748027991,10.1393865031219,"0-36","CT22",TRUE
"ALL",2.45242998566303,-5.38151832820789,10.2863782995339,"0-36","CT23",TRUE
"ALL",2.44869936690151,-5.39174932731621,10.2891480611192,"0-36","CT24",TRUE
"ALL",2.41573713982786,-5.41482914016346,10.2463034198192,"0-36","CT28",TRUE
"ALL",2.4567078116631,-5.3828872706697,10.2963028939959,"0-36","CT29",TRUE
"ALL",2.49576729793899,-5.07214846930421,10.0636830651822,"0-36","CT30",TRUE
"ALL",2.45716946738381,-5.37777067876776,10.2921096135354,"0-36","CT31",TRUE
"ALL",2.45466048160691,-5.3751521913818,10.2844731545956,"0-36","CT32",TRUE
"ALL",2.45738241474741,-5.37529928415035,10.2900641136452,"0-36","CT36",TRUE
"ALL",2.46567501883748,-5.36747801261139,10.2988280502864,"0-36","CT37",TRUE
"ALL",2.48538295543756,-5.3573521730695,10.3281180839446,"0-36","CT38",TRUE
"ALL",2.43460869238286,-5.39464743356824,10.263864818334,"0-36","CT39",TRUE
"ALL",2.41786238683668,-5.39730366852387,10.2330284421972,"0-36","CT4",TRUE
"ALL",2.45317063060096,-5.38120222390341,10.2875434851053,"0-36","CT42",TRUE
"ALL",2.46355269627614,-5.35952367533189,10.2866290678842,"0-36","CT43",TRUE
"ALL",2.12833561687461,-5.66351645732879,9.92018769107802,"0-36","CT44",TRUE
"ALL",2.46685582443198,-5.38254911123707,10.316260760101,"0-36","CT47",TRUE
"ALL",2.46352710177719,-5.36676442226748,10.2938186258219,"0-36","CT48",TRUE
"ALL",2.45159535438185,-5.3786440633539,10.2818347721176,"0-36","CT49",TRUE
"ALL",2.37971393398125,-5.45216466145756,10.21159252942,"0-36","CT5",TRUE
"ALL",2.47601960262851,-5.35479061526748,10.3068298205245,"0-36","CT52",TRUE
"ALL",2.43122581884738,-5.37100117548724,10.233452813182,"0-36","CT53",TRUE
"ALL",2.45070269033103,-5.3738375539148,10.2752429345769,"0-36","CT54",TRUE
"ALL",2.47656882565813,-5.34768429587859,10.3008219471948,"0-36","CT56",TRUE
"ALL",2.45324624991133,-5.37818701845848,10.2846795182811,"0-36","CT57",TRUE
"ALL",2.48335291778612,-5.33289059347757,10.2995964290498,"0-36","CT58",TRUE
"ALL",2.47526417046565,-5.34594342007563,10.2964717610069,"0-36","CT59",TRUE
"ALL",2.43646598359038,-5.3960684415645,10.2690004087452,"0-36","CT6",TRUE
"ALL",2.46094064762581,-5.37580662968476,10.2976879249364,"0-36","CT60",TRUE
"ALL",2.46645833865987,-5.36523413947438,10.2981508167941,"0-36","CT61",TRUE
"ALL",2.44381177169917,-5.3797056061646,10.2673291495629,"0-36","CT9",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","NONE",TRUE
"ALL",2.37396565739314,-5.45949072268133,10.2074220374676,"0-36","CT1",TRUE
"ALL",2.39977850397278,-5.42582817448164,10.2253851824272,"0-36","CT12",TRUE
"ALL",1.88590005006127,-5.94478843557231,9.71658853569484,"0-36","CT13",TRUE
"ALL",2.24960980595982,-5.58053753178372,10.0797571437034,"0-36","CT16",TRUE
"ALL",2.38046161799757,-5.44685065533842,10.2077738913336,"0-36","CT19",TRUE
"ALL",2.38859799829675,-5.44084314702099,10.2180391436145,"0-36","CT2",TRUE
"ALL",2.38395832927876,-5.45429453071961,10.2222111892771,"0-36","CT20",TRUE
"ALL",2.3999629116497,-5.41628975480693,10.2162155781063,"0-36","CT21",TRUE
"ALL",2.37499243319145,-5.45979226251656,10.2097771288995,"0-36","CT22",TRUE
"ALL",2.38365979433929,-5.45294002438744,10.220259613066,"0-36","CT23",TRUE
"ALL",2.3759869411918,-5.4680065521895,10.2199804345731,"0-36","CT24",TRUE
"ALL",2.31420354661083,-5.51511343941364,10.1435205326353,"0-36","CT28",TRUE
"ALL",2.38695619976845,-5.44339952109968,10.2173119206366,"0-36","CT29",TRUE
"ALL",1.9814841052036,-5.57296605936351,9.53593426977072,"0-36","CT30",TRUE
"ALL",2.36762590890756,-5.48338274956953,10.2186345673847,"0-36","CT31",TRUE
"ALL",2.38715871809642,-5.40832564460717,10.1826430808,"0-36","CT32",TRUE
"ALL",2.39535829295559,-5.43500395263108,10.2257205385423,"0-36","CT36",TRUE
"ALL",2.39777573472578,-5.44000291702506,10.2355543864766,"0-36","CT37",TRUE
"ALL",2.28903727371894,-5.5552243612442,10.1332989086821,"0-36","CT38",TRUE
"ALL",2.37341926617176,-5.45152627260178,10.1983648049453,"0-36","CT39",TRUE
"ALL",2.39212791423193,-5.44411102837431,10.2283668568382,"0-36","CT4",TRUE
"ALL",2.37024100189974,-5.47717823515594,10.2176602389554,"0-36","CT42",TRUE
"ALL",2.41055982533952,-5.4125021886645,10.2336218393435,"0-36","CT43",TRUE
"ALL",1.91268845921751,-5.88447215430313,9.70984907273815,"0-36","CT44",TRUE
"ALL",2.3861147285209,-5.448284468675,10.2205139257168,"0-36","CT47",TRUE
"ALL",2.40580625491548,-5.42640598910426,10.2380184989352,"0-36","CT48",TRUE
"ALL",2.38638430085637,-5.44319304677094,10.2159616484837,"0-36","CT49",TRUE
"ALL",2.28985044606071,-5.52587666624441,10.1055775583658,"0-36","CT5",TRUE
"ALL",2.40079297591262,-5.44196137492788,10.2435473267531,"0-36","CT52",TRUE
"ALL",2.38648314216776,-5.44558068150009,10.2185469658356,"0-36","CT53",TRUE
"ALL",2.39393746888724,-5.43463121327239,10.2225061510469,"0-36","CT54",TRUE
"ALL",2.42670772586567,-5.40749651115688,10.2609119628882,"0-36","CT56",TRUE
"ALL",2.40862375460924,-5.4029420542424,10.2201895634609,"0-36","CT57",TRUE
"ALL",2.41942481484678,-5.41636146620549,10.255211095899,"0-36","CT58",TRUE
"ALL",2.42183750420151,-5.40564154200203,10.249316550405,"0-36","CT59",TRUE
"ALL",2.37815141197569,-5.44477605169933,10.2010788756507,"0-36","CT6",TRUE
"ALL",2.39636420727123,-5.43203539844217,10.2247638129846,"0-36","CT60",TRUE
"ALL",2.38352697815224,-5.45908449947476,10.2261384557792,"0-36","CT61",TRUE
"ALL",2.38642099372307,-5.44465594547315,10.2174979329193,"0-36","CT9",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","NONE",TRUE
"ALL",2.41977605716834,-5.37553355636922,10.2150856707059,"0-36","CT1",TRUE
"ALL",2.48284423012942,-5.31480085443894,10.2804893146978,"0-36","CT12",TRUE
"ALL",2.18522012217633,-5.62132916236774,9.99176940672039,"0-36","CT13",TRUE
"ALL",4.02904920926321,-3.53413493014892,11.5922333486753,"0-36","CT16",TRUE
"ALL",2.42244797349245,-5.37693679236117,10.2218327393461,"0-36","CT19",TRUE
"ALL",2.40872473537672,-5.39158396747562,10.209033438229,"0-36","CT2",TRUE
