"hexid","month","observed","predicted","CI.lower","CI.upper"
"ALL",-27,0.239994394664961,0.301740738479443,-0.206324015411035,0.809805492369921
"ALL Over 10",-27,0.47913173124969,0.947697551633431,0.0962573859090841,1.79913771735778
"ALL Under 10",-27,0.1077627053724,-0.0554429695657761,-0.688580725795846,0.577694786664294
"FR12",-27,0,2.61309690205526,0.237167431845507,4.98902637226501
"FR13",-27,1,1.24783967643356,-1.71888249680751,4.21456184967463
"FR18",-27,0,-0.0538280462979588,-3.64629717643605,3.53864108384013
"FR21",-27,0,0.108133669001251,-1.94102165316763,2.15728899117014
"FR23",-27,0,-0.27455471546996,-2.14465664996055,1.59554721902063
"FR25",-27,0,0.180871640560315,-5.756789267819,6.11853254893963
"FR29",-27,1,0.754089484906932,-1.68690530046659,3.19508427028046
"FR32",-27,1,0.130489559250369,-3.80960946171609,4.07058858021682
"FR38",-27,0,0.55785199541957,-1.52406972187969,2.63977371271883
"FR41",-27,1,0.270111951429021,-3.28066235302028,3.82088625587832
"FR44",-27,1,-0.0348610677512746,-1.96355791212697,1.89383577662442
"FR47",-27,0,0.0430226178733654,-2.54284076578642,2.62888600153315
"FR5",-27,1,1.10046649195524,-1.82582642803412,4.0267594119446
"FR76",-27,0,0.0477758060143545,-1.43531199401953,1.53086360604824
"FR77",-27,0,0.0230158770196306,-1.33281859207157,1.37885034611083
"FR81",-27,0,0.421527071608165,-2.73749968960035,3.58055383281668
"FR89",-27,0,-0.229338532136709,-1.5360827675629,1.07740570328948
"FR91",-27,1,1.17939267284304,-1.71992949151275,4.07871483719883
"FR92",-27,0,1.69599026467922,-2.01844946044714,5.41042998980558
"ALL",-26,0.301968015120696,0.44028401705115,-0.0780505981182763,0.958618632220576
"ALL Over 10",-26,0.608767893108354,0.902367903257262,0.166405531763797,1.63833027475073
"ALL Under 10",-26,0,-0.0145224022086722,-0.744666352307373,0.715621547890029
"FR12",-26,3,2.37291452288644,-0.0741537820234726,4.81998282779635
"FR13",-26,1,0.733046841295009,-1.94876885362357,3.41486253621358
"FR18",-26,0,0.0249239161418827,-3.5014097412155,3.55125757349927
"FR21",-26,0,0.489491366289158,-1.49366764776367,2.47265038034198
"FR23",-26,0,0.140904288329978,-2.47303345203964,2.75484202869959
"FR25",-26,0,-0.04545312933754,-4.92106614665793,4.83015988798285
"FR29",-26,0,0.827974665055035,-0.861641446316319,2.51759077642639
"FR32",-26,0,1.6726924548119,-1.84168012865658,5.18706503828038
"FR38",-26,0,0.508354157540032,-1.10428898265481,2.12099729773488
"FR41",-26,1,0.41790992895866,-3.12895135826582,3.96477121618314
"FR44",-26,0,-0.194627339632097,-1.93262582784031,1.54337114857612
"FR47",-26,0,0.403790447347367,-2.3184310960119,3.12601199070664
"FR5",-26,0,0.598545575401087,-1.51341394450559,2.71050509530777
"FR76",-26,0,0.00774937634370754,-1.71478783780832,1.73028659049574
"FR77",-26,0,-0.222842808261743,-1.68610945943154,1.24042384290806
"FR81",-26,0,0.42217356219746,-2.1361526412721,2.98049976566702
"FR89",-26,0,-0.00570468894058429,-2.33638090843155,2.32497153055038
"FR91",-26,2,1.03742861956422,-2.20665446319265,4.28151170232109
"FR92",-26,3,2.18892548798132,-1.5519772217321,5.92982819769474
"ALL",-25,0.313391519092489,0.459462663237224,-0.0426121654671647,0.961537491941612
"ALL Over 10",-25,0.592130039002956,0.867856997753303,0.177723074055318,1.55799092145129
"ALL Under 10",-25,0,0.000296413363074307,-0.731480157635878,0.732072984362027
"FR12",-25,0,2.80760971332451,0.423043014189431,5.19217641245959
"FR13",-25,1,1.05801098082713,-1.7813866142165,3.89740857587076
"FR18",-25,0,0.142804359248717,-3.84362058642866,4.12922930492609
"FR21",-25,1,0.260283031722755,-1.40758871286159,1.9281547763071
"FR23",-25,0,-0.298065954875632,-2.35558332339631,1.75945141364504
"FR25",-25,0,-0.0969155768365564,-9.04979227044886,8.85596111677575
"FR29",-25,0,0.221748691405541,-1.24431116891465,1.68780855172573
"FR32",-25,0,1.23716152321228,-1.56052690596099,4.03484995238555
"FR38",-25,0,1.15759893285018,-1.62773982639365,3.94293769209401
"FR41",-25,1,0.522146913887867,-3.25959951996007,4.30389334773581
"FR44",-25,0,0.335886336417468,-2.71968404424924,3.39145671708417
"FR47",-25,0,0.452766249142676,-2.28368603579747,3.18921853408282
"FR5",-25,1,0.958908475601931,-0.582086791642809,2.49990374284667
"FR76",-25,0,-0.107735288112054,-1.57278111181761,1.3573105355935
"FR77",-25,0,-0.0561770590062308,-1.93219859189142,1.81984447387896
"FR81",-25,0,0.0693582549386465,-1.84138337994432,1.98009988982162
"FR89",-25,0,0.0477459282143697,-1.80534231121029,1.90083416763903
"FR91",-25,0,0.970503073328896,-1.72444203567373,3.66544818233152
"FR92",-25,3,1.33084257829484,-2.01068867222473,4.67237382881441
"ALL",-24,0.704320463075818,0.51114865870601,-0.0255676982439504,1.04786501565597
"ALL Over 10",-24,1.03412287663772,0.933494926410295,0.200140819974251,1.66684903284634
"ALL Under 10",-24,0.323913217485751,0.0239976441107851,-0.763612323174065,0.811607611395635
"FR12",-24,9,3.39936847411447,-0.0421115479435561,6.8408484961725
"FR13",-24,0,0.856203846578387,-2.14835339567654,3.86076108883331
"FR18",-24,0,0.51665540072465,-3.10045062630018,4.13376142774948
"FR21",-24,0,0.319503977551844,-1.61631884539692,2.25532680050061
"FR23",-24,0,0.0117104621595625,-2.53194753349276,2.55536845781189
