"","hexid","ATT","CI.lower","CI.upper","period"
"32","FR38",0.755694325175512,-2.89951846798201,4.41090711833304,"12-24"
"33","FR89",0.795636384937804,-2.90484770444543,4.49612047432104,"12-24"
"34","FR23",0.65545989369518,-3.21502811351856,4.52594790090892,"12-24"
"35","FR7",0.90326540802283,-2.74120101063349,4.54773182667915,"12-24"
"36","FR13",-1.82753158614036,-5.67925177236314,2.02418860008241,"12-24"
"37","FR91",0.494211197815032,-3.14030681094171,4.12872920657177,"12-24"
"38","FR92",1.24576423395164,-2.48849616590081,4.98002463380409,"12-24"
"39","FR81",-0.727252101042157,-4.05785077201855,2.60334656993424,"24-36"
"40","FR5",-1.08434986971383,-4.34242573437115,2.17372599494348,"24-36"
"41","FR77",-0.782837235512406,-4.12208202368872,2.55640755266391,"24-36"
"42","FR32",-1.05886977810672,-4.20337885865592,2.08563930244247,"24-36"
"43","FR25",-0.936589174336759,-4.14574648092663,2.27256813225311,"24-36"
"44","FR47",-1.0854286745962,-4.29394360513352,2.12308625594112,"24-36"
"45","FR18",-1.02740637493493,-4.1780148636323,2.12320211376244,"24-36"
"46","FR41",-1.05453229748945,-4.1952305333596,2.08616593838069,"24-36"
"47","FR21",-1.31026472476616,-4.56429714197951,1.9437676924472,"24-36"
"48","FR44",-1.07524345855899,-4.34481811070327,2.19433119358529,"24-36"
"49","FR29",-1.29734969202205,-4.46490263157521,1.87020324753112,"24-36"
"50","FR76",-1.00642538311512,-4.29637219962453,2.2835214333943,"24-36"
"51","FR38",-0.837447970693928,-4.08581787437784,2.41092193298999,"24-36"
"52","FR89",-0.738160283179668,-4.12979646801628,2.65347590165694,"24-36"
"53","FR23",-1.12752654814319,-4.30160847297686,2.04655537669048,"24-36"
"54","FR7",-1.27687844935648,-4.42721875308383,1.87346185437087,"24-36"
"55","FR13",-1.50001749571522,-4.71183642648547,1.71180143505503,"24-36"
"56","FR91",-1.15429822657013,-4.2973335316756,1.98873707853535,"24-36"
"57","FR92",-0.717140656705091,-3.87316430597799,2.43888299256781,"24-36"
"58","FR81",-1.10976175749019,-7.58254837744696,5.36302486246658,"0-36"
"59","FR5",-3.04078373362713,-9.6556246445383,3.57405717728405,"0-36"
"60","FR77",-1.67941865043572,-8.10523928235681,4.74640198148537,"0-36"
"61","FR32",-2.61933324865549,-8.86331168734816,3.62464519003718,"0-36"
"62","FR25",-2.66238200052204,-9.12624474520234,3.80148074415827,"0-36"
"63","FR47",-2.99461533966416,-9.45128624852837,3.46205556920004,"0-36"
"64","FR18",-2.52204949293637,-8.77370155877726,3.72960257290452,"0-36"
"65","FR41",-2.71437278952298,-8.94436287458931,3.51561729554334,"0-36"
"66","FR21",-2.49339547134298,-8.838814235909,3.85202329322304,"0-36"
"67","FR44",-2.8137682305275,-9.40729186939838,3.77975540834338,"0-36"
"68","FR29",-3.1768652521546,-9.54469703502285,3.19096653071365,"0-36"
"69","FR76",-2.12766851964427,-8.48820333972557,4.23286630043703,"0-36"
"70","FR38",-2.53172536718411,-8.86573511863222,3.802284384264,"0-36"
"71","FR89",-2.16939222708393,-8.62339693574497,4.28461248157712,"0-36"
