"","HEXID","year","population"
"540","FR27",2003,69838.1973187438
"541","FR28",2003,30739.9045279151
"542","FR29",2003,5889.29933275603
"543","FR3",2003,47544.2183782876
"544","FR30",2003,23204.4213906309
"545","FR31",2003,118588.579996156
"546","FR32",2003,30557.0376380773
"547","FR33",2003,123571.342708107
"548","FR34",2003,2553.80103124969
"549","FR35",2003,237.276694574699
"550","FR36",2003,640.827086579312
"551","FR37",2003,1012.75358105366
"552","FR38",2003,56150.933072812
"553","FR39",2003,120.710804084864
"554","FR4",2003,28746.2136449068
"555","FR40",2003,12501.5193174959
"556","FR41",2003,4762.84572032341
"557","FR42",2003,345.934053308561
"558","FR43",2003,7520.46724712398
"559","FR44",2003,3790.32589456618
"560","FR45",2003,378.319476097624
"561","FR46",2003,79855.6734313818
"562","FR47",2003,1277.19655669159
"563","FR48",2003,198.84799090327
"564","FR49",2003,30352.3811105465
"565","FR5",2003,30220.543549414
"566","FR50",2003,34124.5175668225
"567","FR51",2003,82045.1633620256
"568","FR52",2003,99.5971622661859
"569","FR53",2003,13776.5470859141
"570","FR54",2003,86746.5833520533
"571","FR55",2003,11740.6273751975
"572","FR56",2003,72304.2356535745
"573","FR57",2003,12620.2812265463
"574","FR58",2003,2875.95059254348
"575","FR59",2003,78.5692120693867
"576","FR6",2003,316.974999090889
"577","FR60",2003,17137.1867711808
"578","FR61",2003,270.637042314353
"579","FR62",2003,319.273166692594
"580","FR63",2003,770.505877047264
"581","FR64",2003,12641.3933191813
"582","FR65",2003,31884.3861640483
"583","FR66",2003,22.434188563719
"584","FR67",2003,29965.4296117294
"585","FR68",2003,44610.0109787541
"586","FR69",2003,367.438703821693
"587","FR7",2003,105159.369386391
"588","FR70",2003,196.441486220153
"589","FR71",2003,2014.80754620117
"590","FR72",2003,28984.0310748332
"591","FR73",2003,782.577207190272
"592","FR74",2003,3839.488279446
"593","FR75",2003,6062.94645227521
"594","FR76",2003,1810.43532186853
"595","FR77",2003,647.117671120956
"596","FR78",2003,31471.9433178056
"597","FR79",2003,7000.42380139838
"598","FR8",2003,367.641049070525
"599","FR80",2003,21930.5596827109
"600","FR81",2003,5904.8754187034
"601","FR82",2003,71323.6288450212
"602","FR83",2003,6393.0330087556
"603","FR84",2003,4584.34039456505
"604","FR85",2003,201.625959150684
"605","FR86",2003,8743.16982863152
"606","FR87",2003,78.1111927312918
"607","FR88",2003,2119.09312809369
"608","FR89",2003,2753.11875061768
"609","FR9",2003,51.644248293262
"610","FR90",2003,2719.61514508476
"611","FR91",2003,49937.7798044326
"612","FR92",2003,12105.8975803313
"613","CT1",2004,80289.6297829899
"614","CT10",2004,29999.5641884991
"615","CT11",2004,31952.3263583857
"616","CT12",2004,3064.44048091157
"617","CT13",2004,123902.368919944
"618","CT14",2004,2063.43266252875
"619","CT15",2004,756.938128836533
"620","CT16",2004,126970.449426202
"621","CT17",2004,386318.508642686
"622","CT18",2004,1554.40134571556
"623","CT19",2004,2535.34305044645
"624","CT2",2004,539.212783973616
"625","CT20",2004,249.853525088165
"626","CT21",2004,10379.005448495
"627","CT22",2004,46355.0293173454
"628","CT23",2004,361.307903781629
"629","CT24",2004,13367.3289552834
"630","CT25",2004,67459.5334030216
"631","CT26",2004,11122.2083006888
"632","CT27",2004,2525.51578437652
"633","CT28",2004,30699.0281648008
"634","CT29",2004,1395.81267304049
"635","CT3",2004,5468.30418608012
"636","CT30",2004,31434.8832902077
"637","CT31",2004,8568.71113673696
"638","CT32",2004,107339.492205597
"639","CT33",2004,77482.4438407743
"640","CT34",2004,34.2678535156056
"641","CT35",2004,61.8442326968816
"642","CT36",2004,919.42990767729
"643","CT37",2004,21146.4372121836
"644","CT38",2004,187886.827296165
"645","CT39",2004,151417.115792984
"646","CT4",2004,151872.3868869
"647","CT40",2004,324.915476450047
"648","CT41",2004,872.417495100083
"649","CT42",2004,802.889966567218
"650","CT43",2004,32117.1468750585
"651","CT44",2004,652384.733757569
"652","CT45",2004,100654.03602309
"653","CT46",2004,1145.35528438191
"654","CT47",2004,669.956047515283
"655","CT48",2004,17012.3098546811
"656","CT49",2004,22578.7728749438
"657","CT5",2004,219874.046802654
"658","CT50",2004,722.854028131907
"659","CT51",2004,109.074437514893
"660","CT52",2004,24891.4913977289
"661","CT53",2004,473.215372718298
"662","CT54",2004,1894.83264141363
"663","CT55",2004,202445.986192525
"664","CT56",2004,434447.900803855
"665","CT57",2004,8604.37714472686
"666","CT58",2004,371824.83458489
"667","CT59",2004,422086.103419694
"668","CT6",2004,204197.160559453
"669","CT60",2004,22239.8106035581
"670","CT61",2004,87038.7218947478
"671","CT7",2004,339.162678621726
"672","CT8",2004,17987.0180657721
"673","CT9",2004,4584.8429203361
"674","FR1",2004,439.780120326824
"675","FR10",2004,1486.71014220793
"676","FR11",2004,1922.60441950808
"677","FR12",2004,129647.90359825
"678","FR13",2004,168107.410030108
"679","FR14",2004,11942.2534801764
"680","FR15",2004,80117.6255237299
"681","FR16",2004,22012.91209497
"682","FR17",2004,9780.50281563341
"683","FR18",2004,758.136934973667
"684","FR19",2004,11054.2454258306
"685","FR2",2004,335.690493091317
"686","FR20",2004,286.55824405242
"687","FR21",2004,10746.8313605171
"688","FR22",2004,2120.03192199025
"689","FR23",2004,245.156736209981
"690","FR24",2004,5.13928224937961
"691","FR25",2004,1626.43186869311
"692","FR26",2004,59.1509590179642
"693","FR27",2004,70454.9448346184
"694","FR28",2004,31006.2103559
"695","FR29",2004,5996.36994172893
"696","FR3",2004,48662.3320691278
"697","FR30",2004,23698.3503287045
"698","FR31",2004,119353.599465099
"699","FR32",2004,31275.2070534012
"700","FR33",2004,126477.412224339
"701","FR34",2004,2613.85963752496
"702","FR35",2004,238.433386099882
"703","FR36",2004,644.69531115289
"704","FR37",2004,1025.46271276634
"705","FR38",2004,57136.0545157232
"706","FR39",2004,122.905390943652
"707","FR4",2004,29422.2481960078
"708","FR40",2004,12794.6769012748
"709","FR41",2004,4852.94077635177
"710","FR42",2004,353.450604755521
"711","FR43",2004,7697.32865192336
"712","FR44",2004,3877.44073772425
"713","FR45",2004,385.197526222602
"714","FR46",2004,81307.4923142053
"715","FR47",2004,1307.23282607231
"716","FR48",2004,202.463153486344
"717","FR49",2004,31066.1884514206
"718","FR5",2004,30929.6144567807
"719","FR50",2004,34744.9195581874
"720","FR51",2004,83536.7883448551
"721","FR52",2004,100.345198674982
"722","FR53",2004,14099.6839008034
"723","FR54",2004,87266.2291862956
"724","FR55",2004,12016.7357321936
"725","FR56",2004,73618.7886764123
"726","FR57",2004,12916.5961568694
"727","FR58",2004,2943.0410558856
"728","FR59",2004,79.2467446904842
"729","FR6",2004,321.958090586879
"730","FR60",2004,17395.6110529226
"731","FR61",2004,271.933678607922
"732","FR62",2004,325.077723769336
"733","FR63",2004,782.698326205751
"734","FR64",2004,12938.6807261591
"735","FR65",2004,32378.5593465799
"736","FR66",2004,22.7780207118524
"737","FR67",2004,30670.1368843691
"738","FR68",2004,45659.1199480739
"739","FR69",2004,374.600743484477
"740","FR7",2004,106993.698507899
"741","FR70",2004,200.012897723628
"742","FR71",2004,2032.60049790846
"743","FR72",2004,29598.0061425677
"744","FR73",2004,796.804878173977
"745","FR74",2004,3929.35160126112
"746","FR75",2004,6196.35512389859
"747","FR76",2004,1837.79719030111
"748","FR77",2004,651.055891643401
"749","FR78",2004,32212.0797873127
"750","FR79",2004,7159.80709322244
"751","FR8",2004,373.429987810316
"752","FR80",2004,22446.3081680372
"753","FR81",2004,6032.90172424487
"754","FR82",2004,72405.8799378906
"755","FR83",2004,6534.92433096608
"756","FR84",2004,4686.70656378239
"757","FR85",2004,205.291626413684
"758","FR86",2004,8877.24921484494
"759","FR87",2004,79.4564371088728
"760","FR88",2004,2157.61937413051
"761","FR89",2004,2802.26307554281
"762","FR9",2004,52.4904986195962
"763","FR90",2004,2766.94163968825
