"","hexid","TE","seTE","period","OmittedControl"
"630","FR25",2.17455745168147,10.1891895802244,"0-12","CT36"
"631","FR25",-1.79474488833894,11.7311093886207,"13-24","CT36"
"632","FR25",-3.91945281451289,11.7042612450419,"25-36","CT36"
"633","FR25",-2.82285263469518,19.1702028508471,"0-36","CT37"
"634","FR25",2.37453756052314,10.481339029346,"0-12","CT37"
"635","FR25",-1.45336457393734,11.4221678511344,"13-24","CT37"
"636","FR25",-3.74402562128098,11.2770692591225,"25-36","CT37"
"637","FR25",-3.71964000897737,20.4837281219482,"0-36","CT38"
"638","FR25",1.36393022172189,12.1516609591407,"0-12","CT38"
"639","FR25",-2.0718014658017,11.3019867584236,"13-24","CT38"
"640","FR25",-3.01176876489757,12.0077203923311,"25-36","CT38"
"641","FR25",-2.56825420328483,17.5712713275738,"0-36","CT39"
"642","FR25",2.70578225464803,8.30299159512059,"0-12","CT39"
"643","FR25",-1.4857461384483,10.6885582917234,"13-24","CT39"
"644","FR25",-3.78829031948456,11.2055623813802,"25-36","CT39"
"645","FR25",-1.97284031639886,20.3169774525765,"0-36","CT4"
"646","FR25",2.34033325640735,10.6595413461156,"0-12","CT4"
"647","FR25",-1.42760816531528,12.1916732589362,"13-24","CT4"
"648","FR25",-2.88556540749093,12.2685310549509,"25-36","CT4"
"649","FR25",-3.41633053566831,19.3495013405638,"0-36","CT41"
"650","FR25",2.22271638795312,10.4773920737427,"0-12","CT41"
"651","FR25",-1.72248792779453,11.5982556337999,"13-24","CT41"
"652","FR25",-3.91655899582691,11.406486037101,"25-36","CT41"
"653","FR25",-3.39820355500047,18.0668344187874,"0-36","CT42"
"654","FR25",2.24475073609854,9.89917364874158,"0-12","CT42"
"655","FR25",-1.73598693501894,10.5162545451245,"13-24","CT42"
"656","FR25",-3.90696735608007,10.8547343279368,"25-36","CT42"
"657","FR25",-2.71513244269117,19.4616065218202,"0-36","CT43"
"658","FR25",2.27887471736058,10.1705754727079,"0-12","CT43"
"659","FR25",-1.70093349207944,11.7508870472758,"13-24","CT43"
"660","FR25",-3.29307366797231,11.7145284397739,"25-36","CT43"
"661","FR25",-0.316244057526759,19.5474857991318,"0-36","CT44"
"662","FR25",2.00865786433398,10.4854230246335,"0-12","CT44"
"663","FR25",-0.696221525344631,11.5994506761154,"13-24","CT44"
"664","FR25",-1.62868039651611,11.7308503133452,"25-36","CT44"
"665","FR25",-3.40881011766521,19.1363838181313,"0-36","CT47"
"666","FR25",2.22387111224047,10.1739585638781,"0-12","CT47"
"667","FR25",-1.73495464461836,11.4229949622115,"13-24","CT47"
"668","FR25",-3.89772658528732,11.4981276244709,"25-36","CT47"
"669","FR25",-3.04229886339421,16.602836719939,"0-36","CT48"
"670","FR25",2.24580874094466,8.79967406310085,"0-12","CT48"
"671","FR25",-1.6203044464982,9.68534446952343,"13-24","CT48"
"672","FR25",-3.66780315784067,10.2183181609704,"25-36","CT48"
"673","FR25",-3.36318142007342,17.4210371800556,"0-36","CT49"
"674","FR25",2.23833649609115,9.15650595291693,"0-12","CT49"
"675","FR25",-1.7636027561768,10.1375627978245,"13-24","CT49"
"676","FR25",-3.83791515998777,10.8111403507328,"25-36","CT49"
"677","FR25",-2.77471597102734,18.4055536924304,"0-36","CT5"
"678","FR25",1.97893074209249,10.3109047333065,"0-12","CT5"
"679","FR25",-1.57493704321816,10.8046147063261,"13-24","CT5"
"680","FR25",-3.17870966990167,10.7568560162092,"25-36","CT5"
"681","FR25",-3.48596097031159,17.7816592988895,"0-36","CT51"
"682","FR25",2.21253416810832,9.36591292453266,"0-12","CT51"
"683","FR25",-1.76627788150577,10.5752395411154,"13-24","CT51"
"684","FR25",-3.93221725691413,10.7996014352329,"25-36","CT51"
"685","FR25",-3.43117829168565,18.2453473498908,"0-36","CT52"
"686","FR25",2.29652639237874,9.84457789957683,"0-12","CT52"
"687","FR25",-1.80297943140628,10.6314524876797,"13-24","CT52"
"688","FR25",-3.92472525265811,11.0882462048576,"25-36","CT52"
"689","FR25",-3.49696956849677,19.9396060304114,"0-36","CT53"
"690","FR25",2.20982485329424,10.5468709978249,"0-12","CT53"
"691","FR25",-1.76756968356907,11.9073299728587,"13-24","CT53"
"692","FR25",-3.93922473822194,12.0235973702016,"25-36","CT53"
"693","FR25",-3.29016447454589,19.8225977073569,"0-36","CT54"
"694","FR25",2.2517906610138,10.4221739143236,"0-12","CT54"
"695","FR25",-1.69565024817094,11.7879806159045,"13-24","CT54"
"696","FR25",-3.84630488738875,12.056416705073,"25-36","CT54"
"697","FR25",-2.19634981848337,15.9332002909173,"0-36","CT56"
"698","FR25",2.48777977642736,8.17197894306945,"0-12","CT56"
