"","omitted","month","ATT","CI.lower","CI.upper"
"306","FR5",-20,-0.0878378029912421,-0.626491333690449,0.450815727707964
"307","FR77",-20,-0.145187832685312,-0.718322321427218,0.427946656056595
"308","FR32",-20,-0.113814775435562,-0.648737614635731,0.421108063764606
"309","FR25",-20,-0.122342209217534,-0.658479451177692,0.413795032742625
"310","FR47",-20,-0.119842133953704,-0.668752941880649,0.429068673973241
"311","FR18",-20,-0.136705056873677,-0.674792882963656,0.401382769216301
"312","FR40",-20,-0.0908477218830375,-0.654830741232952,0.473135297466877
"313","FR41",-20,-0.133047645976244,-0.673225678832186,0.407130386879698
"314","FR21",-20,-0.0825502386394477,-0.635120308467353,0.470019831188457
"315","FR29",-20,-0.168120823300625,-0.718467509542101,0.38222586294085
"316","FR76",-20,-0.117176567035389,-0.659624705533581,0.425271571462803
"317","FR38",-20,-0.0804296016273075,-0.62167465830442,0.460815455049805
"318","FR89",-20,-0.115741826220948,-0.659200634451876,0.427716982009979
"319","FR23",-20,-0.106785584014692,-0.648324499568792,0.434753331539409
"320","FR7",-20,-0.171806420013115,-0.716443148251158,0.372830308224928
"321","FR13",-20,-0.115482356799556,-0.712774281720853,0.481809568121741
"322","FR91",-20,-0.0850284986660454,-0.643178100424603,0.473121103092512
"323","FR92",-20,-0.110157834763643,-0.649020831867493,0.428705162340207
"324","FR81",-19,-0.219927559263635,-0.739114430003562,0.299259311476291
"325","FR5",-19,-0.126213887120859,-0.665193110041667,0.412765335799948
"326","FR77",-19,-0.231428496299337,-0.755544530218137,0.292687537619464
"327","FR32",-19,-0.190256043027314,-0.702902904898971,0.322390818844344
"328","FR25",-19,-0.208831447264689,-0.718690160836675,0.301027266307298
"329","FR47",-19,-0.198851826265919,-0.725417363877081,0.327713711345242
"330","FR18",-19,-0.20479801092102,-0.713418649086534,0.303822627244495
"331","FR40",-19,-0.208144898082688,-0.722633775549124,0.306343979383748
"332","FR41",-19,-0.211866055751856,-0.72085916712085,0.297127055617138
"333","FR21",-19,-0.19016338376497,-0.713622172689893,0.333295405159953
"334","FR29",-19,-0.219647093861635,-0.743950268734638,0.304656081011368
"335","FR76",-19,-0.203878618547005,-0.721424551387676,0.313667314293666
"336","FR38",-19,-0.19509642493974,-0.710163571854511,0.319970721975032
"337","FR89",-19,-0.213462488096481,-0.735788544295905,0.308863568102943
"338","FR23",-19,-0.209954155461992,-0.723510672863472,0.303602361939487
"339","FR7",-19,-0.205560913618604,-0.734837410245025,0.323715583007818
"340","FR13",-19,-0.157009244060739,-0.679153287786756,0.365134799665277
"341","FR91",-19,-0.168121837847718,-0.708112845027966,0.371869169332531
"342","FR92",-19,-0.338621621520935,-0.882584235184472,0.205340992142603
"343","FR81",-18,0.0993928094728584,-0.390103533039118,0.588889151984835
"344","FR5",-18,0.0838808951599747,-0.39399421322095,0.561756003540899
"345","FR77",-18,0.0718146234002507,-0.415958328415638,0.55958757521614
"346","FR32",-18,0.0269827309283081,-0.44659522571703,0.500560687573646
"347","FR25",-18,0.0575670436820502,-0.412209489265388,0.527343576629488
"348","FR47",-18,0.0404525122015527,-0.441678335595062,0.522583359998168
"349","FR18",-18,0.0575975665060576,-0.411996542327931,0.527191675340046
"350","FR40",-18,0.0693461021177348,-0.408020305542928,0.546712509778398
