"","hexid","ATT","CI.lower","CI.upper","period"
"63","FR61",-7.94920788077286,-73.0783679156681,57.1799521541223,"0-24"
"64","FR62",10.1506524859903,-121.971855163382,142.273160135363,"0-24"
"65","FR63",0.0545789479706613,-55.8117577073444,55.9209156032857,"0-24"
"66","FR68",34.8268299057243,-35.3540705721977,105.007730383646,"0-24"
"67","FR69",-3.97901990003961,-80.6209987092717,72.6629589091925,"0-24"
"68","FR17",10.0862638674618,-5.54062516485065,25.7131528997743,"0-24"
"69","FR21",16.1915980529418,-57.755934300526,90.1391304064096,"0-24"
"70","FR41",-1.60404152628907,-35.9586221057025,32.7505390531243,"0-24"
"71","FR51",5.52150260889267,-56.596096911906,67.6391021296913,"0-24"
"72","FR6",-8.65752995975533,-128.006437014259,110.691377094748,"0-24"
"73","FR9",44.2519222618785,-79.6965372185511,168.200381742308,"0-24"
"74","FR11",-10.0909224361384,-28.9371947046732,8.75534983239642,"0-24"
"75","FR12",7.86615160038834,-30.1193684610981,45.8516716618748,"0-24"
"76","FR19",-2.46366232589639,-30.6748269149102,25.7475022631174,"0-24"
"77","FR22",6.95204397022562,-51.5884192079765,65.4925071484277,"0-24"
"78","FR23",8.20189213278331,-54.3571251617914,70.7609094273581,"0-24"
"79","FR24",221.038533708494,-33.3759720945587,475.453039511547,"0-24"
"80","FR25",1.81911206514868,-123.038678146359,126.676902276656,"0-24"
"81","FR29",12.9238271234429,-46.9188597958823,72.7665140427681,"0-24"
"82","FR36",13.9948294447763,-67.5597358722365,95.5493947617891,"0-24"
"83","FR47",-16.0011277926368,-108.562361060189,76.5601054749154,"0-24"
"84","FR53",-13.2256218273352,-38.30229391633,11.8510502616596,"0-24"
"85","FR1",-3.71657453639238,-47.3344519658629,39.9013028930781,"0-24"
"86","FR2",-2.11827026679421,-57.8250750670658,53.5885345334774,"0-24"
"87","FR30",-7.86307022244235,-28.6278589858738,12.9017185409892,"0-24"
"88","FR43",24.5948753025397,-88.0624275288419,137.252178133921,"0-24"
"89","FR48",-167.249736436061,-303.024070017509,-31.4754028546135,"0-24"
"90","FR49",-76.9780524259497,-142.775897506837,-11.1802073450621,"0-24"
"91","FR15",-5.0671203763012,-149.61425414666,139.480013394058,"0-24"
"92","FR26",20.3970434449916,-41.5343012708905,82.3283881608737,"0-24"
