"hexid","month","observed","predicted"
"FR77",16,0,0.818938521220873
"FR77",17,0,0.590373952794715
"FR77",18,0,0.494329550421019
"FR77",19,0,0.766500635455802
"FR77",20,0,0.350377244561063
"FR77",21,0,0.183705605534258
"FR77",22,0,0.363579536472525
"FR77",23,0,0.0709087556202647
"FR77",24,0,-0.0649483456788388
"FR77",25,0,0.279729596083897
"FR77",26,0,0.0610756913240558
"FR77",27,0,0.174881585568887
"FR77",28,0,0.130559623027552
"FR77",29,0,0.293300131708579
"FR77",30,0,-0.0423938102022803
"FR77",31,0,0.257166914561195
"FR77",32,0,0.250807588497139
"FR77",33,0,0.041021002420395
"FR77",34,0,0.164434238222565
"FR77",35,0,-0.0115760259151523
"FR77",36,0,0.127404103533476
"FR32",-36,0,1.02887017097322
"FR32",-35,0,0.689006894848105
"FR32",-34,1,0.415585573697657
"FR32",-33,1,0.746452563430847
"FR32",-32,0,0.41372663507385
"FR32",-31,0,-0.0284178423470756
"FR32",-30,0,0.740614866176377
"FR32",-29,0,-0.0666341758808611
"FR32",-28,4,0.783925572504854
"FR32",-27,1,0.130489559250369
"FR32",-26,0,1.6726924548119
"FR32",-25,0,1.23716152321228
"FR32",-24,2,0.896492312807744
"FR32",-23,2,0.944316238165429
"FR32",-22,0,1.16153809062147
"FR32",-21,1,1.83598738403709
"FR32",-20,0,0.940789249078596
"FR32",-19,2,0.472941537101183
"FR32",-18,0,0.871891804718588
"FR32",-17,0,0.75047799331265
"FR32",-16,2,0.378839477920209
"FR32",-15,2,1.3039370745041
"FR32",-14,0,3.06377399783571
"FR32",-13,5,4.62171941285861
"FR32",-12,10,8.42894179978434
"FR32",-11,6,5.90237836351338
"FR32",-10,0,0.461791499655885
"FR32",-9,4,3.28918299866841
"FR32",-8,4,1.87654528256371
"FR32",-7,2,2.11237695540395
"FR32",-6,2,2.73924044667493
"FR32",-5,4,2.72401214997688
"FR32",-4,4,3.16758693933681
"FR32",-3,2,3.95363353978014
"FR32",-2,2,3.33813165592866
"FR32",-1,2,5.08083627329983
"FR32",0,3,6.18982222678048
"FR32",1,2,3.81406114801893
"FR32",2,2,3.03598774888269
"FR32",3,3,2.58330020319414
"FR32",4,1,4.27879844918873
"FR32",5,2,1.41389825974099
"FR32",6,3,1.13505827923531
"FR32",7,1,0.969091908369115
"FR32",8,2,0.968575503171862
"FR32",9,3,0.97692055238991
"FR32",10,1,2.19282502378052
"FR32",11,2,1.5184929063741
"FR32",12,2,2.4690116709036
"FR32",13,4,1.51644371752109
"FR32",14,3,3.49028378842653
"FR32",15,1,0.801828153095792
"FR32",16,1,1.75202462029684
"FR32",17,3,1.38046878729822
"FR32",18,3,0.806891160392885
"FR32",19,8,1.3625529391248
"FR32",20,5,0.160952262028502
"FR32",21,1,1.08431876789081
"FR32",22,4,0.98881035479147
"FR32",23,3,0.999225127594318
"FR32",24,4,1.40031414934215
"FR32",25,1,1.74091621693263
"FR32",26,2,0.321251504389903
"FR32",27,0,1.92132457316062
"FR32",28,0,0.357613772586482
"FR32",29,1,0.50731936600618
"FR32",30,1,0.362894954134705
"FR32",31,1,0.724809450914067
"FR32",32,1,-0.110998205670113
"FR32",33,0,-0.184991830099656
"FR32",34,2,-0.768459825425515
"FR32",35,1,-0.429714353940127
"FR32",36,2,0.897779683263713
"FR25",-36,0,0.281447933300158
"FR25",-35,0,-0.0441340268853706
"FR25",-34,0,-0.129170057844174
"FR25",-33,0,-0.0732256241079867
"FR25",-32,0,-0.0415016189297739
"FR25",-31,0,-0.148452316573504
"FR25",-30,0,-0.283878591118195
"FR25",-29,0,-0.283420606154341
"FR25",-28,0,-0.198707011929215
"FR25",-27,0,0.180871640560315
"FR25",-26,0,-0.04545312933754
"FR25",-25,0,-0.0969155768365564
"FR25",-24,0,0.116449183673874
"FR25",-23,0,0.178454100505174
"FR25",-22,0,0.195855155922366
"FR25",-21,0,-0.14121300245235
"FR25",-20,0,-0.173558563992538
"FR25",-19,0,0.18859641909167
"FR25",-18,0,-0.295162859306319
"FR25",-17,0,-0.126345196957297
"FR25",-16,0,0.153942804299096
"FR25",-15,0,0.272155361511888
"FR25",-14,0,0.445963049605298
"FR25",-13,0,0.488575966393447
"FR25",-12,1,-0.0476140124739777
"FR25",-11,0,0.293764404129476
"FR25",-10,1,0.297616168385272
"FR25",-9,0,0.115650571773689
"FR25",-8,0,-0.0054218432556068
"FR25",-7,0,0.235826713338809
"FR25",-6,0,0.176312875217276
"FR25",-5,0,0.315876717661903
"FR25",-4,0,0.169706715993506
"FR25",-3,0,-0.00372739737844019
"FR25",-2,0,0.0308356541699687
"FR25",-1,0,0.359004447891812
